Osiedle,Stops
Leśnica,46
Psie Pole-Zawidawie,41
Karłowice-Różanka,36
Jerzmanowo-Jarnołtów-Strachowice-Osiniec,24
Przedmieście Oławskie,20
Pilczyce-Kozanów-Popowice Płn.,20
Krzyki-Partynice,20
Biskupin-Sępolno-Dąbie-Bartoszowice,19
Szczepin,18
Księże,18
Stare Miasto,16
Maślice,16
Huby,16
Gądów-Popowice Płd.,16
Grabiszyn-Grabiszynek,16
Pracze Odrzańskie,15
Powstańców Śląskich,14
Ołbin,14
Kiełczów,14
Borek,14
Strachocin-Swojczyce-Wojnów,13
Przedmieście Świdnickie,13
Oporów,13
Muchobór Mały,12
Kowale,12
Polanowice-Poświętne-Ligota,11
Klecina,11
Osobowice-Rędzin,10
Nowy Dwór,10
Muchobór Wielki,10
Zacisze-Zalesie-Szczytniki,9
Wilczyce,9
Tarnogaj,9
Smolec,9
Lipa Piotrowska,9
Jagodno,9
Gajowice,9
Łozina,8
Widawa,8
Plac Grunwaldzki,8
Ołtaszyn,8
Brochów,8
Wysoka,7
Pawłowice,7
Długołęka,7
Brzezia Łąka,7
Bielany wrocławskie,7
Żórawina,6
Żerniki,6
Wojszyce,6
Raków,6
Nadodrze,6
Lutynia,6
Kamień,6
Iwiny,6
Gaj,6
Domaszczyn,6
Brzezina,6
Szymanów,5
Szczodre,5
Sołtysowice,5
Biskupice Podgórne,5
Ślęza,4
Wilkszyn,4
Szewce,4
Pisarzowice,4
Pietrzykowice,4
Pasikurowice,4
Miękinia,4
Mirków,4
Kuźniki,4
Krzeptów,4
Kleczków,4
Kiełczówek,4
Gałów,4
Brzezinka Średzka,4
Trestno,3
Godzieszowa,3
Borowa,3
Bieńkowice,3
Świniary,2
Łosice,2
Zabrodzie,2
Węgrów,2
Wróblewice,2
Tokary,2
Suchy Dwór,2
Stępin,2
Skałka,2
Siedlec,2
Samotwór,2
Rzeplin,2
Ratyń,2
Ramiszów,2
Psary,2
Pruszowice,2
Oleśniczka,2
Mrozów,2
Mokry Dwór,2
Mokronos Dolny,2
Mokra,2
Księginice,2
Krępice,2
Kadłub,2
Dobroszów,2
Byków,2
Bukowina,2
Bierzyce,2
Żórawiniec,1
Żar,1
Źródła,1
Śliwice,1
Łowęcice,1
Zaprężyn,1
Zabór Wielki,1
Zabór Mały,1
Szukalice,1
Strachowice,1
Skała,1
Radakowice,1
Piecowice,1
Mokronos Górny,1
Małkowice,1
Lubiatów,1
Kębłowice,1
Kątna,1
Krzyżanowice,1
Krakowiany,1
Komorowice,1
Klęka,1
Karwiany,1
Jaszkotle,1
Jarocińska,1
Januszkowice,1
Jaksonowice,1
Głoska,1
Gąsiorów,1
Dąbrowica,1
Cesarzowice,1
Błonie,1
Bąków,1
Budziwojowice,1
Blizanowice,1
Biestrzyków,1
Bielawa,1
